H1,H2,D1,D2,D3,D4,D5,D6,E1,E2,E3,,,,,,,
200,290,0.28625,0.15582,0.09489,0.07471,0.04354,0.03342,1285,343,194,,,,,,,
187,590,0.20714,0.15424,0.11525,0.09722,0.07519,0.06072,4642,446,115,,,,,,,
183,375,0.25592,0.15303,0.09736,0.07761,0.04828,0.0376,1915,376,179,,,,,,,
184,209,0.27636,0.20171,0.13355,0.10066,0.06107,0.04905,4250,157,148,,,,,,,
225,275,0.21495,0.14995,0.10228,0.07914,0.05345,0.03836,3205,266,180,,,,,,,
154,380,0.48464,0.37996,0.30838,0.26987,0.21591,0.18225,2282,497,41,,,,,,,
66,475,0.3471,0.175,0.09711,0.08008,0.04517,0.04088,6286,326,176,,,,,,,
157,572,0.18778,0.13137,0.08904,0.07245,0.05181,0.03957,5717,428,173,,,,,,,
141,337,0.3459,0.23968,0.15446,0.12069,0.07515,0.06278,3832,239,116,,,,,,,
196,202,0.34734,0.24549,0.16296,0.12446,0.07681,0.06241,2532,172,117,,,,,,,
176,324,0.23832,0.1909,0.14055,0.11076,0.07651,0.05899,8060,228,123,,,,,,,
194,178,0.34262,0.29622,0.24185,0.20241,0.15627,0.126,7307,431,62,,,,,,,
79,566,0.25147,0.13748,0.0851,0.07151,0.04938,0.03712,5815,490,181,,,,,,,
96,209,0.35179,0.20864,0.12212,0.09538,0.05371,0.04639,3569,415,154,,,,,,,
89,527,0.51438,0.32192,0.20507,0.17029,0.1122,0.09765,3931,219,75,,,,,,,
78,438,0.4178,0.25663,0.16805,0.13885,0.09211,0.07911,4981,336,94,,,,,,,
126,310,0.34903,0.18475,0.11527,0.09195,0.05523,0.04741,1221,438,156,,,,,,,
113,478,0.60993,0.44747,0.31973,0.26715,0.19277,0.16465,3610,197,45,,,,,,,
199,478,0.17479,0.13203,0.09387,0.07381,0.05195,0.03848,6447,293,183,,,,,,,
164,214,0.32176,0.21023,0.12806,0.09781,0.05607,0.04721,2671,226,151,,,,,,,
136,245,0.82179,0.56843,0.37939,0.26149,0.20005,0.1677,1388,167,47,,,,,,,
40,247,0.47777,0.25727,0.15736,0.12399,0.07194,0.06179,7180,456,117,,,,,,,
185,571,0.28123,0.242,0.20421,0.17874,0.15111,0.13004,7844,428,52,,,,,,,
210,164,0.2679,0.20293,0.14846,0.11713,0.08033,0.06181,3552,434,118,,,,,,,
160,412,0.30949,0.24163,0.17148,0.13401,0.08974,0.07272,6490,175,102,,,,,,,
111,437,0.33659,0.21047,0.11767,0.09156,0.04978,0.04384,5053,211,160,,,,,,,
214,281,0.16921,0.13577,0.10219,0.08087,0.05852,0.04371,8308,252,170,,,,,,,
139,491,0.40336,0.3421,0.28592,0.25249,0.21304,0.18291,7143,457,38,,,,,,,
201,482,0.34232,0.2872,0.24351,0.21572,0.18323,0.158,4114,490,44,,,,,,,
186,298,0.5977,0.4878,0.40007,0.34693,0.27648,0.23495,2047,407,33,,,,,,,
165,492,0.29567,0.20386,0.13136,0.10253,0.06381,0.05359,3488,216,135,,,,,,,
71,222,0.69797,0.47096,0.30692,0.20796,0.15834,0.12436,5006,312,59,,,,,,,
99,398,0.41768,0.2297,0.14993,0.12228,0.07849,0.06716,1484,378,112,,,,,,,
224,492,0.25705,0.18626,0.13141,0.10363,0.06951,0.05396,3077,205,130,,,,,,,
178,552,0.37163,0.27839,0.22312,0.19659,0.15901,0.13736,2198,438,51,,,,,,,
190,309,0.21602,0.17498,0.13154,0.10454,0.07604,0.05717,8245,243,129,,,,,,,
60,491,0.28289,0.14436,0.08921,0.07415,0.0463,0.03691,6932,491,181,,,,,,,
161,543,0.20397,0.15159,0.1102,0.09182,0.06931,0.05489,6077,457,128,,,,,,,
108,200,0.70973,0.54994,0.3875,0.27416,0.20157,0.16265,5131,243,46,,,,,,,
126,337,0.42886,0.26203,0.14246,0.10953,0.05653,0.05028,2860,153,138,,,,,,,
164,311,0.35106,0.29044,0.2224,0.17992,0.13069,0.10639,7328,219,72,,,,,,,
178,437,0.23141,0.1802,0.13099,0.10453,0.07271,0.05706,6616,266,125,,,,,,,
128,391,0.31189,0.23753,0.16448,0.12994,0.08678,0.07156,8439,248,103,,,,,,,
241,580,0.23125,0.19376,0.15753,0.133,0.10572,0.08577,6284,208,85,,,,,,,
243,336,0.19669,0.14317,0.10695,0.08742,0.06497,0.05018,3391,447,146,,,,,,,
163,315,0.29141,0.20471,0.14001,0.11133,0.07373,0.0574,3293,355,122,,,,,,,
109,268,0.2854,0.1897,0.11051,0.08446,0.04678,0.04005,7847,255,175,,,,,,,
104,440,0.31147,0.22631,0.15994,0.13272,0.09432,0.07635,8033,409,93,,,,,,,
223,327,0.29079,0.1782,0.12267,0.09898,0.06602,0.05196,1408,395,136,,,,,,,
138,587,0.25903,0.18115,0.11471,0.08952,0.05517,0.0427,6130,241,153,,,,,,,
112,354,0.47507,0.33843,0.22316,0.17674,0.11403,0.09528,4917,208,77,,,,,,,
44,197,0.90374,0.47517,0.27491,0.16875,0.1425,0.10902,2608,255,69,,,,,,,
161,452,0.21116,0.15571,0.11185,0.09191,0.06793,0.0527,5664,460,135,,,,,,,
220,362,0.56035,0.42308,0.35352,0.31402,0.257,0.21972,1079,494,34,,,,,,,
217,192,0.19638,0.15422,0.11656,0.09336,0.06843,0.05176,5637,497,144,,,,,,,
233,213,0.16767,0.13285,0.1001,0.07919,0.05724,0.04268,6908,248,175,,,,,,,
184,399,0.39454,0.24318,0.14676,0.11362,0.06547,0.05601,1527,171,128,,,,,,,
97,335,0.54097,0.38845,0.25513,0.1753,0.12903,0.10755,6431,192,68,,,,,,,
94,570,0.40611,0.2277,0.11978,0.09646,0.05114,0.04688,4122,201,150,,,,,,,
149,313,0.49373,0.42649,0.3504,0.30142,0.23964,0.2025,7192,364,38,,,,,,,
168,357,0.19822,0.14922,0.09989,0.075,0.04573,0.03362,8240,198,200,,,,,,,
94,156,0.30648,0.18712,0.10206,0.0789,0.04117,0.03652,6904,336,190,,,,,,,
134,346,0.38968,0.24498,0.1673,0.13589,0.09098,0.07651,1658,403,99,,,,,,,
159,398,0.25345,0.19521,0.13605,0.10544,0.06907,0.05267,7536,209,132,,,,,,,
198,216,0.45653,0.40941,0.34762,0.30061,0.24271,0.201,8155,202,39,,,,,,,
192,379,0.23333,0.17333,0.12778,0.10486,0.07801,0.0605,3961,434,120,,,,,,,
118,331,0.30075,0.21152,0.13486,0.10495,0.06461,0.05397,7092,278,134,,,,,,,
143,458,0.24619,0.16914,0.1109,0.08873,0.05764,0.04534,4866,342,150,,,,,,,
184,415,0.19239,0.14438,0.10243,0.08137,0.05785,0.0433,6143,343,163,,,,,,,
240,422,0.40676,0.35886,0.31093,0.27553,0.23372,0.19987,4919,249,36,,,,,,,
211,290,0.53493,0.4211,0.33353,0.28153,0.21553,0.18042,1815,303,43,,,,,,,
174,508,0.26487,0.20786,0.1613,0.1377,0.10901,0.08914,5021,421,80,,,,,,,
151,324,0.31863,0.22267,0.13658,0.10212,0.05752,0.04757,4513,152,148,,,,,,,
67,283,0.821,0.58099,0.42886,0.32153,0.24775,0.20409,2595,390,38,,,,,,,
144,587,0.32633,0.25886,0.18618,0.14782,0.10198,0.08401,8394,167,87,,,,,,,
149,555,0.17508,0.1291,0.09066,0.07416,0.05426,0.04201,8474,467,165,,,,,,,
200,549,0.28083,0.17096,0.10885,0.08702,0.05464,0.04301,1765,273,155,,,,,,,
69,410,0.40566,0.16189,0.09357,0.07615,0.04141,0.03766,1029,370,194,,,,,,,
186,562,0.26244,0.18621,0.13758,0.11675,0.09003,0.07261,2854,408,97,,,,,,,
101,413,0.40535,0.18279,0.10593,0.08629,0.04863,0.04362,1053,329,168,,,,,,,
239,508,0.33837,0.28226,0.23123,0.19793,0.1598,0.13161,4004,202,55,,,,,,,
76,160,0.44595,0.21811,0.09912,0.08139,0.03607,0.03607,4763,178,190,,,,,,,
160,235,0.52822,0.38832,0.27263,0.21514,0.14392,0.11745,2220,242,64,,,,,,,
88,502,0.29731,0.19456,0.13569,0.115,0.08215,0.0674,6232,492,105,,,,,,,
57,170,1.28854,0.89967,0.57063,0.37435,0.29285,0.22624,7286,195,33,,,,,,,
119,266,0.31437,0.23256,0.15975,0.12599,0.08319,0.06827,7134,408,109,,,,,,,
154,567,0.22603,0.14984,0.09443,0.07491,0.04674,0.03663,4312,316,180,,,,,,,
226,196,0.19439,0.16168,0.1268,0.10232,0.07657,0.05844,8377,193,132,,,,,,,
110,288,0.36694,0.22995,0.14257,0.11265,0.0682,0.0579,3268,343,126,,,,,,,
102,572,0.26017,0.15905,0.09143,0.07358,0.04305,0.0338,6690,317,187,,,,,,,
204,340,0.18367,0.14511,0.10732,0.08473,0.0608,0.0453,7473,261,161,,,,,,,
157,272,0.35697,0.2607,0.17647,0.1373,0.0883,0.07226,3803,233,102,,,,,,,
238,484,0.30714,0.27158,0.23451,0.20663,0.17453,0.14876,6975,252,48,,,,,,,
239,490,0.28611,0.16819,0.11549,0.09512,0.06473,0.05217,1271,347,134,,,,,,,
155,224,0.2125,0.15483,0.10326,0.07944,0.04984,0.03766,6665,383,180,,,,,,,
92,280,0.4098,0.28366,0.18862,0.14977,0.09696,0.08059,6133,383,92,,,,,,,
204,249,0.41193,0.36413,0.3104,0.27219,0.2252,0.18748,6209,449,41,,,,,,,
77,329,0.38884,0.19152,0.09449,0.07696,0.03741,0.0356,4445,246,196,,,,,,,
64,492,0.78219,0.46606,0.31144,0.2284,0.17877,0.15484,3531,191,48,,,,,,,
161,461,0.20909,0.15925,0.11641,0.09575,0.07144,0.05574,6892,437,128,,,,,,,
115,410,0.3276,0.22919,0.16411,0.13692,0.09806,0.07941,4179,467,91,,,,,,,
205,541,0.17367,0.13778,0.10707,0.09009,0.07045,0.05695,6969,455,125,,,,,,,
239,303,0.50079,0.37496,0.28696,0.23709,0.17468,0.14508,1463,215,53,,,,,,,
212,159,0.37538,0.28933,0.21872,0.17547,0.12479,0.10086,2492,484,77,,,,,,,
76,564,0.29686,0.16379,0.08951,0.07353,0.04155,0.03277,8235,319,189,,,,,,,
233,395,0.39522,0.36134,0.32286,0.29007,0.2526,0.22057,7907,300,32,,,,,,,
69,338,0.48774,0.2824,0.15701,0.12539,0.06942,0.06156,7273,216,115,,,,,,,
107,520,0.34544,0.25358,0.18738,0.1606,0.12111,0.10122,6271,408,70,,,,,,,
96,252,0.6943,0.43523,0.26259,0.16976,0.13,0.10772,2450,186,70,,,,,,,
48,593,0.60201,0.25228,0.12309,0.07092,0.05046,0.0494,6027,179,142,,,,,,,
166,560,0.30584,0.22042,0.16501,0.14154,0.10759,0.09042,2890,398,78,,,,,,,
87,291,0.34356,0.21908,0.14217,0.11326,0.0717,0.06021,4958,483,123,,,,,,,
45,212,0.74216,0.33555,0.17157,0.09847,0.09201,0.06947,5130,188,108,,,,,,,
185,315,0.25964,0.21025,0.16274,0.13428,0.10236,0.08022,6139,406,93,,,,,,,
69,460,0.40613,0.20085,0.11958,0.09853,0.05874,0.05207,3241,326,141,,,,,,,
175,442,0.21582,0.16166,0.10859,0.08182,0.05024,0.0371,6772,186,182,,,,,,,
135,184,0.32856,0.227,0.14639,0.1128,0.06883,0.05677,3834,406,128,,,,,,,
105,219,0.29133,0.19782,0.12192,0.09401,0.0554,0.04646,7640,386,154,,,,,,,
124,467,0.24924,0.14137,0.08604,0.07017,0.04316,0.03407,2815,434,195,,,,,,,
120,225,0.31777,0.19995,0.11408,0.08787,0.0479,0.04158,4302,262,169,,,,,,,
130,545,0.2171,0.15328,0.09995,0.07966,0.05155,0.04062,8064,340,165,,,,,,,
134,272,0.29378,0.22911,0.16704,0.13403,0.09378,0.07346,7680,465,99,,,,,,,
175,305,0.24825,0.19659,0.14061,0.10794,0.07099,0.05321,7795,156,134,,,,,,,
182,289,0.43621,0.3805,0.31829,0.27604,0.2225,0.18589,6191,388,41,,,,,,,
218,420,0.22522,0.16525,0.1128,0.08496,0.05252,0.03851,4141,154,179,,,,,,,
69,206,0.57511,0.30525,0.17124,0.10424,0.07259,0.06448,2674,287,110,,,,,,,
235,523,0.17257,0.13459,0.10004,0.07884,0.05649,0.04196,6168,209,175,,,,,,,
220,272,0.30554,0.25365,0.20419,0.17155,0.13451,0.10737,4705,355,71,,,,,,,
117,166,0.29299,0.19259,0.10688,0.08012,0.04096,0.03566,7006,173,192,,,,,,,
205,163,0.26408,0.16892,0.1102,0.08518,0.05216,0.0395,2001,423,170,,,,,,,
196,372,0.33529,0.23661,0.1673,0.13499,0.09283,0.07738,2247,274,97,,,,,,,
43,591,0.39583,0.16211,0.1048,0.08767,0.05489,0.04396,1293,426,155,,,,,,,
189,177,0.55849,0.42669,0.31394,0.2491,0.17256,0.1393,1911,281,55,,,,,,,
93,360,0.46265,0.20598,0.10486,0.08583,0.04247,0.04031,1487,232,176,,,,,,,
41,584,0.60298,0.22361,0.09592,0.04804,0.03235,0.03529,8005,172,193,,,,,,,
188,221,0.40482,0.21385,0.11645,0.09033,0.04606,0.04155,1018,177,169,,,,,,,
247,434,0.12906,0.103,0.08022,0.06583,0.05002,0.03907,8242,385,190,,,,,,,
137,196,0.58417,0.47544,0.36079,0.29042,0.20847,0.16859,4481,379,46,,,,,,,
65,508,0.35514,0.19692,0.13494,0.11386,0.07847,0.06374,3915,469,111,,,,,,,
127,471,0.28334,0.21806,0.16031,0.13364,0.09801,0.0801,8211,389,89,,,,,,,
133,317,0.32091,0.21271,0.1294,0.10016,0.05863,0.0497,4083,243,144,,,,,,,
40,258,0.60976,0.34671,0.2235,0.14832,0.10683,0.08978,3783,419,82,,,,,,,
54,536,0.39232,0.20746,0.1302,0.10946,0.07059,0.06224,8053,350,118,,,,,,,
173,567,0.19312,0.15083,0.11248,0.09299,0.07053,0.05583,7841,389,126,,,,,,,
85,541,0.43944,0.21582,0.10515,0.08623,0.04184,0.04017,3213,202,174,,,,,,,
48,315,0.9395,0.58938,0.39156,0.27465,0.22684,0.178,6652,211,43,,,,,,,
235,430,0.20546,0.16126,0.1258,0.10511,0.08136,0.06485,4712,372,113,,,,,,,
214,351,0.24648,0.18612,0.13683,0.11,0.07734,0.06089,3823,291,119,,,,,,,
221,192,0.26489,0.17895,0.11848,0.09088,0.05602,0.04216,2390,236,160,,,,,,,
78,534,0.62846,0.42945,0.33722,0.29765,0.23543,0.20631,2390,355,36,,,,,,,
123,206,0.28714,0.19349,0.11259,0.08476,0.04588,0.03905,6617,208,178,,,,,,,
102,489,0.42065,0.28638,0.21876,0.19001,0.14584,0.12219,2403,480,60,,,,,,,
203,555,0.25416,0.14955,0.10416,0.08785,0.06491,0.05094,1511,465,138,,,,,,,
145,350,0.39579,0.30866,0.22018,0.1741,0.11856,0.09682,5780,190,77,,,,,,,
45,484,0.62851,0.45105,0.37229,0.33144,0.27084,0.23809,6670,500,31,,,,,,,
202,291,0.32833,0.20433,0.13012,0.10146,0.06163,0.05181,1584,247,141,,,,,,,
150,543,0.47908,0.40115,0.33589,0.29662,0.24871,0.21834,4513,369,31,,,,,,,
155,487,0.35907,0.28953,0.22549,0.19185,0.14815,0.12358,5525,312,58,,,,,,,
67,189,0.86479,0.59343,0.37921,0.25143,0.19873,0.15346,5833,265,49,,,,,,,
113,206,0.30391,0.20834,0.12611,0.0961,0.05497,0.04619,7306,281,153,,,,,,,
120,164,0.63056,0.32884,0.1715,0.09926,0.08779,0.0673,1090,163,112,,,,,,,
178,589,0.3376,0.26567,0.2035,0.17172,0.13088,0.10919,4185,257,64,,,,,,,
115,598,0.27935,0.19704,0.14201,0.12184,0.09411,0.07629,5720,446,91,,,,,,,
235,153,0.25809,0.21978,0.17865,0.14857,0.11562,0.09111,6746,278,86,,,,,,,
80,524,0.6163,0.42513,0.33679,0.29763,0.23658,0.2071,2221,380,36,,,,,,,
200,216,0.39488,0.33152,0.26341,0.2169,0.16297,0.13297,4815,262,59,,,,,,,
201,431,0.38943,0.30416,0.24329,0.21068,0.16657,0.14035,2459,371,52,,,,,,,
106,537,0.43458,0.30543,0.19671,0.15757,0.10169,0.08687,6281,184,83,,,,,,,
160,375,0.273,0.17122,0.11478,0.09308,0.06157,0.0486,2146,450,144,,,,,,,
217,575,0.25158,0.20808,0.16412,0.13568,0.10467,0.08292,6289,188,88,,,,,,,
166,195,0.44193,0.37719,0.29911,0.24485,0.18292,0.14838,6981,295,53,,,,,,,
201,593,0.19367,0.15506,0.11978,0.09982,0.07732,0.06201,7074,344,114,,,,,,,
55,500,0.55444,0.24332,0.14986,0.12406,0.07465,0.06632,1736,272,112,,,,,,,
199,466,0.50165,0.42828,0.35917,0.31479,0.25909,0.22244,3684,251,32,,,,,,,
136,294,0.24925,0.17063,0.10228,0.07711,0.04304,0.03199,6440,227,194,,,,,,,
198,240,0.27965,0.18793,0.11919,0.09041,0.05316,0.04384,2649,193,164,,,,,,,
176,288,0.36814,0.21383,0.1378,0.10945,0.06801,0.05754,1167,347,129,,,,,,,
