H1,H2,D1,D2,D3,D4,D5,D6,E1,E2,E3,,,,,,,
40,227,0.69744,0.40843,0.26034,0.17045,0.12119,0.10152,2969,421,72,,,,,,,
133,302,0.49326,0.36437,0.27711,0.23068,0.17023,0.14171,2055,495,55,,,,,,,
247,382,0.16874,0.12501,0.09292,0.07516,0.05526,0.04229,4379,378,172,,,,,,,
129,322,0.2289,0.15971,0.10568,0.08368,0.05395,0.04182,6395,465,164,,,,,,,
90,584,0.28599,0.16069,0.08831,0.07213,0.04081,0.03215,6004,314,193,,,,,,,
115,339,0.33626,0.2222,0.14994,0.12123,0.08058,0.06765,3359,438,111,,,,,,,
77,267,0.55397,0.24228,0.10473,0.05446,0.03677,0.03857,2696,151,178,,,,,,,
174,233,0.52296,0.41826,0.32431,0.26712,0.19801,0.16265,2661,377,48,,,,,,,
127,251,0.26328,0.17316,0.10857,0.08468,0.05116,0.03901,4468,433,169,,,,,,,
148,190,0.67827,0.47355,0.33168,0.23346,0.17227,0.14007,1148,359,54,,,,,,,
228,304,0.14796,0.11236,0.08341,0.0669,0.04877,0.03694,6091,463,198,,,,,,,
123,448,0.51816,0.42547,0.34923,0.30838,0.25245,0.22105,4919,416,33,,,,,,,
217,373,0.31548,0.17612,0.11661,0.09438,0.06096,0.04804,1081,364,144,,,,,,,
145,529,0.28376,0.15914,0.10386,0.08663,0.05751,0.04645,1658,433,149,,,,,,,
144,371,0.23655,0.14523,0.09134,0.07303,0.04534,0.03532,3011,444,190,,,,,,,
188,349,0.31663,0.17074,0.09895,0.07776,0.04324,0.03802,1272,265,189,,,,,,,
170,540,0.36385,0.29661,0.22713,0.18746,0.13948,0.11693,5794,185,63,,,,,,,
239,565,0.38692,0.32453,0.27718,0.24397,0.20844,0.18099,3129,322,37,,,,,,,
223,360,0.21456,0.17989,0.14709,0.12575,0.10085,0.08227,6979,448,91,,,,,,,
93,542,0.45474,0.18783,0.09491,0.07891,0.03896,0.03758,1224,239,190,,,,,,,
176,345,0.27286,0.22071,0.1683,0.13744,0.10052,0.08018,6670,316,92,,,,,,,
194,170,0.29881,0.17949,0.11497,0.08923,0.05376,0.04079,1474,469,163,,,,,,,
195,367,0.17538,0.12948,0.09132,0.07219,0.05085,0.03774,5701,381,187,,,,,,,
220,370,0.19177,0.15813,0.12597,0.10539,0.08221,0.06557,7465,389,114,,,,,,,
128,578,0.31826,0.15876,0.10287,0.08675,0.05711,0.04636,1158,436,149,,,,,,,
76,228,0.45953,0.23507,0.11013,0.08929,0.04078,0.03985,5138,178,172,,,,,,,
250,328,0.17337,0.14325,0.11321,0.09196,0.06936,0.05327,7808,167,146,,,,,,,
154,266,0.35477,0.28466,0.20669,0.16134,0.10942,0.08755,7214,173,86,,,,,,,
164,263,0.71296,0.52717,0.40616,0.33714,0.24957,0.20661,1061,379,38,,,,,,,
107,382,0.26486,0.17684,0.11389,0.09142,0.0586,0.04588,6711,415,148,,,,,,,
116,600,0.20908,0.14384,0.09637,0.08005,0.05812,0.0451,8267,460,151,,,,,,,
118,489,0.34277,0.21865,0.12888,0.10177,0.05952,0.05174,4320,224,138,,,,,,,
162,214,0.35398,0.28844,0.22144,0.17977,0.13093,0.10646,5617,481,73,,,,,,,
109,389,0.39879,0.24411,0.13574,0.1062,0.05769,0.05098,3989,192,138,,,,,,,
155,223,0.31697,0.24815,0.1747,0.13445,0.08786,0.07013,6964,190,106,,,,,,,
178,286,0.50403,0.40754,0.31429,0.25835,0.191,0.1573,3276,239,49,,,,,,,
230,587,0.31376,0.20993,0.15968,0.13798,0.10915,0.0899,1507,386,78,,,,,,,
71,261,0.51418,0.3406,0.23268,0.18512,0.12142,0.10031,4064,477,75,,,,,,,
215,164,0.3695,0.2769,0.19702,0.1528,0.10102,0.08089,2612,171,93,,,,,,,
111,569,0.54157,0.39281,0.28068,0.23772,0.17441,0.15132,4009,212,48,,,,,,,
105,592,0.28926,0.16704,0.0994,0.08215,0.05079,0.04066,3932,342,161,,,,,,,
109,383,0.22915,0.15526,0.1016,0.08177,0.05323,0.0418,7757,491,164,,,,,,,
60,196,0.46927,0.25237,0.14169,0.11154,0.05994,0.05314,4750,380,133,,,,,,,
230,410,0.18572,0.15334,0.11929,0.09555,0.07076,0.05352,8261,154,144,,,,,,,
247,446,0.17318,0.13413,0.10473,0.08777,0.06813,0.0545,4936,438,134,,,,,,,
76,425,0.52541,0.26333,0.16112,0.13177,0.07969,0.06979,1751,271,106,,,,,,,
89,171,0.67352,0.45225,0.27905,0.17977,0.13434,0.11464,3825,268,68,,,,,,,
155,539,0.287,0.19538,0.12592,0.09994,0.06354,0.04983,3680,249,134,,,,,,,
238,252,0.17718,0.14013,0.10538,0.08306,0.05974,0.0443,6383,192,169,,,,,,,
118,491,0.32057,0.23394,0.17282,0.14746,0.11047,0.09177,5180,445,78,,,,,,,
45,243,0.61288,0.22037,0.09889,0.0514,0.03541,0.03759,4927,175,184,,,,,,,
125,207,0.53634,0.39425,0.26147,0.17602,0.12591,0.10268,4127,200,71,,,,,,,
243,282,0.15578,0.12079,0.0897,0.07041,0.05017,0.037,6378,229,200,,,,,,,
138,418,0.3995,0.2949,0.22049,0.18641,0.13898,0.11825,3124,383,64,,,,,,,
100,259,0.36063,0.24572,0.15854,0.1245,0.07778,0.06481,5835,389,113,,,,,,,
160,420,0.19049,0.14251,0.09877,0.07796,0.05455,0.04043,7934,356,172,,,,,,,
48,396,0.61816,0.36886,0.25089,0.20702,0.13962,0.11893,7317,299,63,,,,,,,
54,565,0.44634,0.29522,0.23086,0.20415,0.16161,0.13866,7320,493,51,,,,,,,
52,454,0.83154,0.33984,0.18575,0.11277,0.10653,0.08041,1909,156,95,,,,,,,
130,282,0.61445,0.49508,0.38352,0.31963,0.2397,0.199,3798,351,39,,,,,,,
179,345,0.24106,0.15854,0.10548,0.08393,0.05431,0.04231,2754,399,163,,,,,,,
99,358,0.3364,0.21326,0.11576,0.08865,0.04569,0.04051,7552,192,170,,,,,,,
48,487,0.32776,0.14393,0.09038,0.0746,0.04539,0.03591,3284,486,186,,,,,,,
123,303,0.29232,0.19451,0.12666,0.1005,0.06389,0.04945,4101,426,138,,,,,,,
87,285,0.56649,0.37428,0.26251,0.21079,0.14202,0.11733,2013,428,65,,,,,,,
72,589,0.60249,0.35554,0.20466,0.13586,0.10135,0.09043,5780,159,79,,,,,,,
73,346,0.36817,0.24445,0.16715,0.13632,0.0922,0.0775,7866,483,97,,,,,,,
119,588,0.5575,0.37702,0.26076,0.22078,0.15806,0.13777,2363,205,53,,,,,,,
93,150,0.43573,0.23349,0.13066,0.10186,0.05383,0.04781,1568,463,148,,,,,,,
184,498,0.23081,0.15269,0.09726,0.07589,0.0466,0.0359,3221,277,184,,,,,,,
222,297,0.27185,0.19198,0.12972,0.09918,0.062,0.04648,2784,170,147,,,,,,,
50,207,0.50656,0.25391,0.14613,0.11451,0.06164,0.05448,2078,438,131,,,,,,,
160,402,0.45186,0.34548,0.24504,0.19468,0.13273,0.10924,3680,157,68,,,,,,,
240,575,0.3034,0.26691,0.22815,0.19889,0.16594,0.13997,6924,180,51,,,,,,,
70,235,0.56807,0.37233,0.24327,0.16473,0.11997,0.09961,4799,391,74,,,,,,,
215,237,0.34149,0.22264,0.14545,0.11245,0.06915,0.05721,1663,214,128,,,,,,,
224,342,0.38419,0.3405,0.28899,0.25069,0.20557,0.16977,6782,155,45,,,,,,,
231,473,0.14327,0.11009,0.08253,0.06684,0.0495,0.0381,6637,386,190,,,,,,,
154,252,0.4155,0.31839,0.23607,0.19117,0.13598,0.11146,3251,418,69,,,,,,,
67,499,0.35173,0.19537,0.12403,0.10353,0.0672,0.05395,5916,389,126,,,,,,,
178,226,0.56548,0.50355,0.42927,0.37627,0.30781,0.2612,5957,463,30,,,,,,,
134,299,0.46777,0.37843,0.27887,0.22193,0.15524,0.12596,7252,188,60,,,,,,,
185,509,0.2667,0.20311,0.14399,0.11337,0.07646,0.05936,4951,197,118,,,,,,,
241,215,0.22362,0.17732,0.13626,0.1099,0.08158,0.06224,4738,287,121,,,,,,,
98,527,0.60159,0.3153,0.19241,0.15996,0.09971,0.08806,1262,204,84,,,,,,,
60,153,0.69311,0.47547,0.30217,0.19752,0.14672,0.12327,7646,489,63,,,,,,,
135,188,0.26748,0.19831,0.13106,0.09989,0.06161,0.04998,7931,313,145,,,,,,,
53,463,0.64781,0.32523,0.19834,0.13368,0.1003,0.08843,4054,217,83,,,,,,,
53,534,0.31915,0.16406,0.10721,0.09035,0.05975,0.04837,6897,479,142,,,,,,,
234,453,0.20447,0.14914,0.11261,0.09401,0.07175,0.05691,3326,442,127,,,,,,,
131,442,0.31811,0.21461,0.12793,0.09766,0.05526,0.04698,5052,189,150,,,,,,,
144,566,0.30086,0.20262,0.14579,0.12469,0.09201,0.07671,2707,424,92,,,,,,,
125,188,0.39993,0.22571,0.13691,0.1064,0.06087,0.05202,1260,465,139,,,,,,,
80,297,0.4133,0.24696,0.13993,0.11063,0.06174,0.05414,6358,259,131,,,,,,,
225,478,0.3763,0.32668,0.28274,0.25068,0.21498,0.18644,4538,373,37,,,,,,,
139,592,0.4596,0.3926,0.32686,0.2858,0.23796,0.20822,7505,307,32,,,,,,,
91,253,0.31643,0.19317,0.11612,0.0913,0.05333,0.04563,5122,437,158,,,,,,,
191,409,0.25515,0.13858,0.08718,0.07031,0.04345,0.03409,1425,417,197,,,,,,,
228,150,0.28943,0.21196,0.14937,0.11549,0.07547,0.05704,2826,202,124,,,,,,,
94,563,0.41427,0.26883,0.18274,0.15502,0.10946,0.09542,4266,305,77,,,,,,,
147,233,0.50754,0.4022,0.29442,0.23355,0.16186,0.13094,4391,236,58,,,,,,,
200,184,0.20164,0.1477,0.10203,0.07865,0.05332,0.03822,4774,336,182,,,,,,,
165,557,0.23714,0.15814,0.10489,0.08524,0.05677,0.04545,3427,351,150,,,,,,,
51,470,0.52739,0.26151,0.15377,0.12723,0.0755,0.06729,6309,249,108,,,,,,,
128,588,0.36937,0.22425,0.13309,0.1075,0.06487,0.05712,2659,226,126,,,,,,,
134,581,0.24197,0.16784,0.11942,0.1015,0.07716,0.06177,4657,480,113,,,,,,,
181,566,0.31012,0.22301,0.16244,0.13625,0.09988,0.08249,2785,308,85,,,,,,,
227,450,0.2553,0.21781,0.18331,0.16039,0.13335,0.11247,6201,413,64,,,,,,,
77,303,0.44121,0.25115,0.12922,0.10241,0.05164,0.04742,6805,193,146,,,,,,,
246,415,0.26683,0.20614,0.16348,0.13922,0.11016,0.08948,3012,378,82,,,,,,,
241,446,0.39427,0.32816,0.26725,0.22723,0.1784,0.1477,3401,167,50,,,,,,,
131,335,0.43562,0.2858,0.19523,0.15805,0.10594,0.08881,1916,344,85,,,,,,,
206,173,0.31223,0.27108,0.22088,0.18336,0.14266,0.11226,8349,183,70,,,,,,,
146,421,0.22519,0.16694,0.11424,0.09036,0.05989,0.04669,7579,327,148,,,,,,,
206,567,0.2631,0.18713,0.12335,0.09272,0.05566,0.04464,3371,155,163,,,,,,,
103,265,0.49201,0.37415,0.26111,0.20641,0.13832,0.11312,7527,282,66,,,,,,,
103,404,0.51672,0.34721,0.26373,0.2237,0.16677,0.14121,1488,459,55,,,,,,,
92,415,0.41998,0.3076,0.21657,0.17868,0.12599,0.10651,8509,315,70,,,,,,,
105,380,0.50657,0.36745,0.25545,0.20815,0.14358,0.12053,4944,252,62,,,,,,,
139,421,0.34952,0.24178,0.16063,0.12894,0.0848,0.07157,3569,266,103,,,,,,,
211,532,0.25003,0.2075,0.16749,0.14276,0.11453,0.09411,6139,307,76,,,,,,,
48,568,0.41361,0.19524,0.13174,0.11129,0.07435,0.06029,2644,411,116,,,,,,,
83,468,0.3082,0.18969,0.11991,0.09876,0.06386,0.0509,7018,389,133,,,,,,,
68,526,0.32282,0.1795,0.1172,0.0987,0.06598,0.05345,5566,444,129,,,,,,,
146,528,0.31779,0.15919,0.10462,0.08765,0.05783,0.0467,1016,452,149,,,,,,,
184,317,0.20785,0.15716,0.10812,0.08239,0.05223,0.039,6570,206,177,,,,,,,
227,227,0.16365,0.13082,0.0985,0.07758,0.05582,0.04138,7834,213,181,,,,,,,
83,422,0.4015,0.20576,0.12413,0.10142,0.06084,0.0534,2283,334,138,,,,,,,
243,541,0.34328,0.31237,0.27926,0.24813,0.21708,0.19094,8014,264,35,,,,,,,
67,393,0.32811,0.1518,0.09375,0.07584,0.04481,0.03486,1860,496,189,,,,,,,
158,547,0.23034,0.15868,0.09858,0.07516,0.04403,0.03319,5167,235,193,,,,,,,
77,366,0.34025,0.19178,0.1113,0.08971,0.05204,0.04567,5927,347,158,,,,,,,
193,337,0.38786,0.30116,0.21925,0.17331,0.11918,0.09662,3426,153,78,,,,,,,
48,567,0.469,0.18234,0.09652,0.08112,0.04199,0.04005,4221,264,179,,,,,,,
110,496,0.271,0.16409,0.10509,0.08691,0.05691,0.0456,3776,430,150,,,,,,,
196,530,0.42081,0.36837,0.31649,0.27878,0.23811,0.20614,5529,304,33,,,,,,,
58,258,0.46194,0.22803,0.12218,0.09822,0.05107,0.04669,5491,287,151,,,,,,,
124,366,0.31963,0.22627,0.13805,0.10365,0.05863,0.04875,7296,165,144,,,,,,,
234,232,0.26469,0.15152,0.09718,0.07608,0.04615,0.03532,1374,367,189,,,,,,,
105,522,0.52092,0.42755,0.34418,0.30137,0.24445,0.21496,8391,324,33,,,,,,,
155,595,0.22484,0.16017,0.11406,0.09569,0.07212,0.05732,4735,434,121,,,,,,,
76,466,0.43452,0.27393,0.1818,0.15141,0.10261,0.08835,5862,318,84,,,,,,,
183,550,0.17088,0.12452,0.0865,0.06909,0.04903,0.03693,6121,375,187,,,,,,,
163,333,0.42643,0.34215,0.26366,0.21933,0.16401,0.1367,4069,310,56,,,,,,,
247,255,0.44032,0.39797,0.34892,0.31157,0.264,0.22402,6106,206,34,,,,,,,
161,437,0.52039,0.44684,0.37596,0.33191,0.27537,0.23775,4850,344,30,,,,,,,
120,210,0.44731,0.32512,0.22503,0.17684,0.11648,0.09491,3580,446,79,,,,,,,
89,200,0.77302,0.48089,0.29748,0.19284,0.14623,0.12001,1747,258,63,,,,,,,
118,522,0.42817,0.33848,0.25159,0.21011,0.15584,0.13285,8029,233,55,,,,,,,
62,490,0.50539,0.28833,0.19369,0.16273,0.11071,0.09586,4301,312,78,,,,,,,
172,268,0.3226,0.26094,0.20202,0.16657,0.12368,0.09904,5167,457,76,,,,,,,
220,288,0.22757,0.17706,0.13485,0.10994,0.08225,0.06352,4433,397,117,,,,,,,
125,392,0.24629,0.1746,0.11142,0.08652,0.05323,0.04075,8262,290,162,,,,,,,
239,316,0.18158,0.14818,0.11683,0.09607,0.07337,0.05732,6921,306,132,,,,,,,
200,589,0.52197,0.40321,0.30949,0.26155,0.19957,0.17177,2030,164,42,,,,,,,
211,391,0.26786,0.23058,0.19305,0.16805,0.13827,0.11531,7196,414,64,,,,,,,
226,515,0.46618,0.37102,0.31448,0.27967,0.23583,0.20751,1790,392,33,,,,,,,
49,442,0.44787,0.25438,0.17695,0.14761,0.10151,0.0869,5807,423,87,,,,,,,
190,170,0.46447,0.40289,0.33037,0.27758,0.21541,0.1771,5579,403,45,,,,,,,
93,547,0.54267,0.3543,0.27717,0.24424,0.19155,0.16735,1393,410,45,,,,,,,
179,397,0.25515,0.19349,0.13475,0.10439,0.06821,0.05195,5493,199,134,,,,,,,
237,508,0.42528,0.32587,0.24976,0.20751,0.15473,0.13031,2036,162,57,,,,,,,
41,523,0.31265,0.13446,0.08323,0.06935,0.04206,0.03352,6412,487,197,,,,,,,
76,551,0.3546,0.23288,0.17153,0.14913,0.11265,0.09475,5839,489,75,,,,,,,
178,540,0.1966,0.15249,0.11195,0.09105,0.06746,0.05231,7349,339,135,,,,,,,
222,593,0.16609,0.13381,0.10672,0.09088,0.07275,0.05993,7043,463,117,,,,,,,
215,323,0.4366,0.3729,0.31819,0.28245,0.23716,0.20098,3408,497,37,,,,,,,
106,233,0.53896,0.40827,0.2882,0.2282,0.15406,0.12552,5421,341,60,,,,,,,
42,219,0.43044,0.20513,0.11716,0.09223,0.04906,0.04378,2683,495,163,,,,,,,
178,398,0.21967,0.15852,0.11428,0.0937,0.069,0.05326,4062,482,135,,,,,,,
117,484,0.27963,0.18846,0.1196,0.09595,0.06106,0.04808,6115,310,139,,,,,,,
156,375,0.30128,0.20725,0.13186,0.10209,0.0622,0.05198,3743,225,139,,,,,,,
243,441,0.14775,0.11888,0.0924,0.07526,0.05673,0.04392,7842,291,170,,,,,,,
219,331,0.28006,0.21501,0.16246,0.13268,0.09625,0.07673,3391,306,96,,,,,,,
55,512,0.42815,0.2229,0.13137,0.10936,0.06626,0.05901,8247,289,123,,,,,,,
139,151,0.32517,0.19239,0.10676,0.08234,0.04334,0.03828,2507,271,183,,,,,,,
193,595,0.23036,0.16715,0.11961,0.09806,0.07243,0.05646,3878,321,123,,,,,,,
187,154,0.40666,0.34061,0.26623,0.21514,0.15748,0.12669,5283,303,62,,,,,,,
226,568,0.16888,0.11853,0.08273,0.06584,0.04648,0.03483,4049,343,199,,,,,,,
49,465,0.42949,0.19279,0.10959,0.09065,0.05107,0.04638,6030,306,156,,,,,,,
65,261,0.40401,0.20264,0.11424,0.0911,0.0494,0.04411,3709,370,162,,,,,,,
130,194,0.29441,0.19137,0.10962,0.08317,0.04468,0.03849,4797,225,181,,,,,,,
150,561,0.20491,0.13128,0.08326,0.06737,0.04615,0.03429,4112,409,195,,,,,,,
154,309,0.27534,0.22306,0.17159,0.14184,0.10536,0.08474,7606,497,88,,,,,,,
185,165,0.44447,0.37587,0.29749,0.2428,0.18058,0.14607,5186,310,54,,,,,,,
122,400,0.48618,0.36965,0.27977,0.2371,0.17849,0.15164,3749,346,50,,,,,,,
59,388,0.41624,0.24497,0.16027,0.13117,0.08536,0.07295,7189,393,102,,,,,,,
60,210,0.4196,0.20425,0.09898,0.08064,0.03817,0.03674,7571,252,188,,,,,,,
171,445,0.32761,0.2429,0.18054,0.15127,0.11169,0.09143,3106,353,79,,,,,,,
139,536,0.19962,0.13222,0.085,0.06877,0.0475,0.03544,5445,427,190,,,,,,,
150,329,0.36943,0.30667,0.24192,0.2034,0.15553,0.12698,6969,395,59,,,,,,,
171,424,0.45097,0.38864,0.31665,0.26947,0.21216,0.17906,6780,195,42,,,,,,,
80,285,0.54504,0.4186,0.31191,0.25671,0.18604,0.15403,8435,466,50,,,,,,,
249,569,0.14604,0.11576,0.09036,0.07479,0.0575,0.04557,6876,348,159,,,,,,,
204,309,0.37939,0.26493,0.19367,0.15829,0.11214,0.0933,1635,352,82,,,,,,,
234,492,0.23068,0.18243,0.14824,0.12879,0.10521,0.08798,3928,495,81,,,,,,,
111,350,0.58499,0.41369,0.30476,0.25356,0.18359,0.15398,2073,349,50,,,,,,,
111,372,0.30523,0.18779,0.1161,0.09313,0.05731,0.04465,3772,368,149,,,,,,,
250,403,0.17258,0.14387,0.11514,0.09476,0.07273,0.05679,8191,188,136,,,,,,,
159,341,0.45882,0.40296,0.34164,0.30138,0.24879,0.21219,7315,458,35,,,,,,,
150,596,0.32391,0.20365,0.1231,0.09782,0.05889,0.05124,2640,227,140,,,,,,,
203,306,0.28245,0.22691,0.17049,0.13541,0.09532,0.07385,5367,175,100,,,,,,,
225,556,0.27934,0.23861,0.2008,0.17501,0.14612,0.12408,5880,320,56,,,,,,,
109,197,0.37048,0.19485,0.11286,0.08834,0.04839,0.04243,1395,458,169,,,,,,,
120,383,0.27441,0.18468,0.11752,0.09334,0.05865,0.0456,5647,345,147,,,,,,,
239,203,0.41144,0.37648,0.33205,0.29764,0.25287,0.21468,8401,174,36,,,,,,,
200,462,0.30315,0.21348,0.15622,0.13023,0.09458,0.07714,2250,345,93,,,,,,,
248,363,0.26053,0.23107,0.1991,0.17528,0.14644,0.12305,8371,253,61,,,,,,,
214,319,0.28638,0.2099,0.15028,0.11931,0.08132,0.06327,2921,250,113,,,,,,,
54,168,0.46727,0.23539,0.12936,0.10182,0.0528,0.04764,3050,464,148,,,,,,,
178,412,0.49705,0.42747,0.35401,0.30712,0.24793,0.21263,5020,249,35,,,,,,,
145,176,0.29611,0.21295,0.13661,0.10348,0.06175,0.0505,5486,244,142,,,,,,,
241,160,0.1682,0.1308,0.09792,0.07742,0.05576,0.0415,5896,314,179,,,,,,,
237,387,0.30984,0.22259,0.16126,0.12963,0.0901,0.07103,2202,221,101,,,,,,,
57,243,0.42092,0.18692,0.09916,0.08007,0.04035,0.03761,3552,338,188,,,,,,,
96,420,0.70845,0.47854,0.37074,0.31745,0.24099,0.20481,1055,365,38,,,,,,,
249,256,0.3681,0.29367,0.23898,0.2043,0.16003,0.13191,2402,457,58,,,,,,,
54,180,0.49116,0.25047,0.13462,0.10682,0.05498,0.05003,5512,348,140,,,,,,,
54,448,0.39269,0.2095,0.13705,0.11344,0.0738,0.06381,5642,413,117,,,,,,,
171,268,0.58826,0.40422,0.29378,0.2383,0.16652,0.13753,1050,329,56,,,,,,,
95,333,0.31092,0.20713,0.13696,0.11019,0.07193,0.05627,6163,463,123,,,,,,,
215,318,0.15745,0.1241,0.09164,0.07179,0.051,0.03759,8116,251,195,,,,,,,
93,325,0.77712,0.61309,0.44938,0.33743,0.2612,0.21614,7320,192,35,,,,,,,
138,183,0.31806,0.24836,0.17342,0.13331,0.08655,0.06919,8452,269,107,,,,,,,
144,248,0.23716,0.17454,0.11374,0.08613,0.05211,0.03883,8039,242,170,,,,,,,
203,285,0.19075,0.14974,0.11099,0.08816,0.0637,0.04778,6748,328,153,,,,,,,
178,582,0.22781,0.1855,0.14783,0.12705,0.10284,0.08569,7222,442,81,,,,,,,
96,542,0.3301,0.23658,0.17222,0.14777,0.11061,0.0925,7513,424,76,,,,,,,
146,420,0.31064,0.25697,0.20431,0.17489,0.13961,0.11421,8250,441,64,,,,,,,
207,551,0.18123,0.1421,0.10238,0.07819,0.05341,0.0379,7592,170,192,,,,,,,
195,462,0.18769,0.14234,0.10321,0.08296,0.06026,0.04588,5969,345,155,,,,,,,
178,206,0.25918,0.16439,0.10173,0.07831,0.04579,0.03458,2507,332,187,,,,,,,
144,374,0.49119,0.34557,0.2356,0.18946,0.12699,0.10637,2417,212,70,,,,,,,
175,498,0.37287,0.23308,0.14856,0.11918,0.07542,0.06476,1644,223,113,,,,,,,
69,540,0.50746,0.35324,0.26444,0.23058,0.17722,0.15521,7468,350,47,,,,,,,
182,412,0.18705,0.1378,0.09975,0.08148,0.05998,0.04625,5276,500,155,,,,,,,
100,150,0.3816,0.27479,0.17573,0.1338,0.08021,0.06575,8341,425,109,,,,,,,
124,272,0.24435,0.16698,0.10392,0.08029,0.04789,0.03633,6826,358,179,,,,,,,
58,491,0.70017,0.42203,0.30753,0.26257,0.19128,0.16482,2797,281,46,,,,,,,
194,182,0.5885,0.52335,0.44505,0.38745,0.31447,0.26469,5060,453,30,,,,,,,
136,424,0.4003,0.30717,0.2307,0.19425,0.14509,0.1232,4384,339,61,,,,,,,
40,388,0.74034,0.36858,0.23611,0.15976,0.11897,0.10287,3983,238,72,,,,,,,
56,487,0.72577,0.32029,0.16543,0.099,0.09443,0.07152,3295,155,106,,,,,,,
47,587,0.44674,0.28583,0.22416,0.19856,0.15734,0.13534,7900,498,52,,,,,,,
239,572,0.22959,0.19231,0.16044,0.13936,0.11563,0.09779,5742,369,71,,,,,,,
221,212,0.19892,0.15807,0.11782,0.09233,0.06583,0.0485,6489,185,153,,,,,,,
60,227,1.15277,0.84497,0.58288,0.41235,0.32669,0.25554,7701,220,30,,,,,,,
145,386,0.30585,0.24473,0.18982,0.16066,0.12262,0.10097,6481,479,73,,,,,,,
217,485,0.31656,0.27818,0.23835,0.20957,0.17667,0.15066,7044,307,47,,,,,,,
124,490,0.314,0.22665,0.13985,0.10414,0.05883,0.04836,8346,150,145,,,,,,,
62,303,0.68872,0.42556,0.28651,0.20075,0.14959,0.1251,3089,312,60,,,,,,,
104,295,0.33087,0.1984,0.11962,0.09476,0.05596,0.04806,3501,374,151,,,,,,,
206,352,0.22058,0.1525,0.10138,0.07828,0.04899,0.03721,3396,260,182,,,,,,,
247,449,0.17274,0.13146,0.09933,0.08088,0.06033,0.04668,4827,330,156,,,,,,,
118,553,0.299,0.14798,0.08685,0.07197,0.04296,0.03419,1676,382,191,,,,,,,
73,186,0.61951,0.44183,0.29238,0.19833,0.14222,0.11625,7506,410,63,,,,,,,
142,371,0.26291,0.16246,0.10347,0.08299,0.05224,0.0408,2744,419,166,,,,,,,
134,291,0.24669,0.16409,0.09826,0.07526,0.04284,0.03226,5576,285,195,,,,,,,
80,600,0.39896,0.22759,0.13606,0.11375,0.07141,0.06355,5027,269,114,,,,,,,
139,455,0.52774,0.39445,0.31544,0.27726,0.2213,0.19237,1834,411,39,,,,,,,
220,342,0.20087,0.1523,0.11515,0.09461,0.07111,0.05535,4324,468,133,,,,,,,
78,576,0.6019,0.38934,0.24846,0.1779,0.13794,0.12057,5812,177,60,,,,,,,
212,494,0.15497,0.11926,0.09014,0.0745,0.05655,0.0446,6534,474,161,,,,,,,
217,434,0.24857,0.16746,0.11182,0.08739,0.05562,0.04282,2542,244,159,,,,,,,
168,328,0.47297,0.40692,0.3293,0.27745,0.21522,0.17921,6621,216,43,,,,,,,
227,437,0.43601,0.38399,0.32822,0.28783,0.23785,0.20269,5109,186,36,,,,,,,
57,168,0.4797,0.28362,0.16398,0.12736,0.07017,0.06078,7335,467,116,,,,,,,
234,454,0.30897,0.21825,0.16472,0.13872,0.10338,0.08509,1888,341,85,,,,,,,
149,425,0.38873,0.25168,0.14686,0.11191,0.06158,0.05284,2723,153,133,,,,,,,
50,479,0.45574,0.18292,0.09549,0.07964,0.04043,0.03853,4553,267,185,,,,,,,
156,288,0.27024,0.15527,0.09459,0.07466,0.044,0.0338,1909,412,193,,,,,,,
160,464,0.21324,0.14973,0.0986,0.07763,0.04969,0.03861,5329,325,175,,,,,,,
223,250,0.19015,0.15732,0.12465,0.10267,0.07865,0.0615,7776,395,124,,,,,,,
250,586,0.16794,0.1301,0.10061,0.08348,0.06419,0.05107,5229,340,140,,,,,,,
195,317,0.30537,0.24362,0.1876,0.15461,0.11448,0.09189,4358,338,81,,,,,,,
71,249,0.69881,0.46767,0.33028,0.23364,0.17335,0.14121,1376,496,54,,,,,,,
143,167,0.3942,0.22616,0.11896,0.09186,0.04554,0.04143,2005,164,167,,,,,,,
40,221,0.93907,0.58003,0.3732,0.24872,0.20045,0.15473,6235,300,49,,,,,,,
237,582,0.20863,0.17666,0.14329,0.11971,0.0939,0.07496,7984,176,100,,,,,,,
242,506,0.39779,0.31954,0.26101,0.22618,0.18172,0.15451,2463,250,46,,,,,,,
132,385,0.31118,0.22555,0.14774,0.11491,0.07232,0.05998,6371,227,121,,,,,,,
202,411,0.33669,0.26064,0.1995,0.1665,0.12447,0.1015,3110,291,72,,,,,,,
71,514,0.39199,0.19385,0.12193,0.10164,0.06422,0.05647,2485,366,132,,,,,,,
99,380,0.41629,0.24166,0.1604,0.13068,0.08533,0.07249,1780,391,104,,,,,,,
191,480,0.18212,0.12805,0.08861,0.07126,0.05068,0.03826,4458,412,182,,,,,,,
114,425,0.31372,0.18491,0.12481,0.10304,0.06926,0.05527,2055,488,128,,,,,,,
138,201,0.29559,0.20207,0.12488,0.09526,0.05548,0.0463,4677,280,154,,,,,,,
124,239,0.31083,0.24133,0.17318,0.13727,0.09388,0.07629,8472,475,99,,,,,,,
203,311,0.3096,0.25884,0.20501,0.16924,0.1274,0.10216,5967,229,74,,,,,,,
131,276,0.49713,0.27124,0.15509,0.12261,0.06796,0.05985,1201,220,120,,,,,,,
111,477,0.31998,0.19561,0.12994,0.10807,0.07295,0.05872,2863,410,119,,,,,,,
